PVTTABLE POINT = ( 101325.000 , 115.789474 , .669993953 , .600892148 , 6.62086E-6 , 5.97585E-6 , -.00173208 , -.00157654 , 1.00000000 , 1.34011E-5 , 1.05750E-5 , 2291.03712 , 1921.53315 , 192665.908 , 167118.115 , .042235545 , .034556326 , .000000000 , 969.613495 , 546.697175 )  
PVTTABLE POINT = ( 101325.000 , 126.315789 , .652247334 , .584749009 , 6.44458E-6 , 5.81219E-6 , -.00164110 , -.00149184 , 1.00000000 , 1.37040E-5 , 1.07400E-5 , 2328.61411 , 1928.42473 , 216981.188 , 187380.945 , .043960523 , .035773789 , .000000000 , 1031.29737 , 598.101897 )  
PVTTABLE POINT = ( 101325.000 , 126.315789 , .652247334 , .584749009 , 6.44458E-6 , 5.81219E-6 , -.00164110 , -.00149184 , 1.00000000 , 1.37040E-5 , 1.07400E-5 , 2328.61411 , 1928.42473 , 216981.188 , 187380.945 , .043960523 , .035773789 , .000000000 , 1031.29737 , 598.101897 )  
PVTTABLE POINT = ( 101325.000 , 136.842105 , .635420637 , .569461370 , 6.27753E-6 , 5.65748E-6 , -.00155714 , -.00141387 , 1.00000000 , 1.40052E-5 , 1.09277E-5 , 2366.49371 , 1935.50185 , 241693.562 , 207717.309 , .045711919 , .037004373 , .000000000 , 1092.35793 , 648.351213 )  
PVTTABLE POINT = ( 101325.000 , 136.842105 , .635420637 , .569461370 , 6.27753E-6 , 5.65748E-6 , -.00155714 , -.00141387 , 1.00000000 , 1.40052E-5 , 1.09277E-5 , 2366.49371 , 1935.50185 , 241693.562 , 207717.309 , .045711919 , .037004373 , .000000000 , 1092.35793 , 648.351213 )  
PVTTABLE POINT = ( 101325.000 , 147.368421 , .619443880 , .554962168 , 6.11899E-6 , 5.51098E-6 , -.00147948 , -.00134193 , 1.00000000 , 1.43043E-5 , 1.11333E-5 , 2404.61481 , 1942.74939 , 266806.031 , 228129.098 , .047488490 , .038247497 , .000000000 , 1152.83404 , 697.508264 )  
PVTTABLE POINT = ( 101325.000 , 147.368421 , .619443880 , .554962168 , 6.11899E-6 , 5.51098E-6 , -.00147948 , -.00134193 , 1.00000000 , 1.43043E-5 , 1.11333E-5 , 2404.61481 , 1942.74939 , 266806.031 , 228129.098 , .047488490 , .038247497 , .000000000 , 1152.83404 , 697.508264 )  
PVTTABLE POINT = ( 101325.000 , 157.894737 , .604254024 , .541191248 , 5.96832E-6 , 5.37204E-6 , -.00140752 , -.00127540 , 1.00000000 , 1.46011E-5 , 1.13528E-5 , 2442.91851 , 1950.15333 , 292320.844 , 248618.048 , .049288996 , .039502951 , .000000000 , 1212.75990 , 745.631155 )  
PVTTABLE POINT = ( 101325.000 , 157.894737 , .604254024 , .541191248 , 5.96832E-6 , 5.37204E-6 , -.00140752 , -.00127540 , 1.00000000 , 1.46011E-5 , 1.13528E-5 , 2442.91851 , 1950.15333 , 292320.844 , 248618.048 , .049288996 , .039502951 , .000000000 , 1212.75990 , 745.631155 )  
PVTTABLE POINT = ( 101325.000 , 168.421053 , .589794069 , .528094473 , 5.82495E-6 , 5.24007E-6 , -.00134070 , -.00121376 , 1.00000000 , 1.48955E-5 , 1.15830E-5 , 2481.34724 , 1957.69977 , 318239.529 , 269185.716 , .051112210 , .040770780 , .000000000 , 1272.16554 , 792.773355 )  
PVTTABLE POINT = ( 101325.000 , 178.947368 , .576012523 , .515622990 , 5.68835E-6 , 5.11456E-6 , -.00127855 , -.00115652 , 1.00000000 , 1.51874E-5 , 1.18215E-5 , 2519.82937 , 1965.37462 , 344562.259 , 289833.471 , .052956927 , .042051160 , .000000000 , 1331.07595 , 838.984135 )  
PVTTABLE POINT = ( 101325.000 , 178.947368 , .576012523 , .515622990 , 5.68835E-6 , 5.11456E-6 , -.00127855 , -.00115652 , 1.00000000 , 1.51874E-5 , 1.18215E-5 , 2519.82937 , 1965.37462 , 344562.259 , 289833.471 , .052956927 , .042051160 , .000000000 , 1331.07595 , 838.984135 )  
PVTTABLE POINT = ( 101325.000 , 189.473684 , .562862500 , .503732607 , 5.55806E-6 , 4.99504E-6 , -.00122064 , -.00110329 , 1.00000000 , 1.54768E-5 , 1.20663E-5 , 2558.32953 , 1973.16670 , 371289.980 , 310562.639 , .054821970 , .043344283 , .000000000 , 1389.51596 , 884.309281 )  
PVTTABLE POINT = ( 101325.000 , 189.473684 , .562862500 , .503732607 , 5.55806E-6 , 4.99504E-6 , -.00122064 , -.00110329 , 1.00000000 , 1.54768E-5 , 1.20663E-5 , 2558.32953 , 1973.16670 , 371289.980 , 310562.639 , .054821970 , .043344283 , .000000000 , 1389.51596 , 884.309281 )  
PVTTABLE POINT = ( 101325.000 , 200.000000 , .550301417 , .492383253 , 5.43364E-6 , 4.88107E-6 , -.00116659 , -.00105367 , 1.00000000 , 1.57634E-5 , 1.23159E-5 , 2596.81013 , 1981.06629 , 398422.985 , 331374.480 , .056706192 , .044650273 , .000000000 , 1447.50738 , 928.791349 )  
PVTTABLE POINT = ( 101325.000 , 200.000000 , .550301417 , .492383253 , 5.43364E-6 , 4.88107E-6 , -.00116659 , -.00105367 , 1.00000000 , 1.57634E-5 , 1.23159E-5 , 2596.81013 , 1981.06629 , 398422.985 , 331374.480 , .056706192 , .044650273 , .000000000 , 1447.50738 , 928.791349 )  
PVTTABLE POINT = ( 827088.926 , .000000000 , 8.08170961 , 8.47948318 , 1.01594E-5 , 1.31409E-5 , -.03333130 , -.05287713 , 1.00000000 , 1.04368E-5 , 1.29878E-5 , 1988.90427 , 2227.91180 , -61298.737 , -100164.29 , .025454792 , .023642964 , .000000000 , -613.07314 , -1151.3230 )  
